asignatura	nota media total
tecnologia	65.39

idioma extranjero (ingles)	58.69

educacion fisica y salud	66.22

artes visuales	65.31

lenguaje y comunicacion	57.58

comprension del medio natural, social y cultural	61.75

matematica	55.97

estudio y comprension de la naturaleza	54.85

estudio y comprension de la sociedad	54.42

musica	65.41

quimica	53.85

lengua castellana y comunicacion	56.6

fisica	52.41

biologia	55.43

historia y ciencias sociales	57.95

evolucion, ecologia y ambiente	59.54

quimica diferenciada	57.37

lenguaje y sociedad	58.84

ciencias sociales y realidad nacional	58.96

celula, genoma y organismo	61.32

funciones y procesos infinitos	58.59

la ciudad contemporanea	56.66

literatura e identidad	58.27

filosofia y psicologia	61.02

mecanica	57.48

problemas del conocimiento	61.47

artes visuales: grafica, pintura, escultura	66.99

algebra y modelos analiticos	58.07

argumentacion	61.6

audiovisuales: fotografia, diaporama, video, cine	66.72

termodinamica	58.28

literario cultural	65.09

social comunicativo	65.81

historia, geografia y ciencias sociales	58.06

ciencias naturales	58.04

idioma extranjero	59.78

tecnologia y diseno	67.21

dibujo, grabado, pintura, escultura, instalacion	67.6

lengua y literatura	54.69

filosofia y psicologia electiva	56.03

deportes y actividades de expresion motriz	66.81

condicion fisica y motriz asociada a salud y calidad de vida	67.44
